,Processors,Time [s],Asynchronously
0,1.0,234.490117073059,0
1,2.0,144.893783092499,0
2,3.0,116.25344991684,0
3,4.0,105.430807113647,0
4,5.0,111.61699938774107,0
5,6.0,120.90545201301576,0
6,7.0,114.13700199127196,0
7,8.0,123.58124017715454,0
8,1.0,219.69835305213928,1
9,2.0,136.47989082336426,1
10,3.0,118.3867847919464,1
11,4.0,109.8373351097107,1
12,5.0,106.22643494606018,1
13,6.0,107.94285821914671,1
14,7.0,114.00759601593018,1
15,8.0,110.11457920074463,1
